"product_sku","design_number","stock_quantity","category","size","color"
JNE3432-KR-XXXL,JNE3432,21,Kurta,XXXL,Red
NW033-ST-CP-XL,NW033,22,Night Wear,XL,Yellow
JNE3480-KR-S,JNE3480,7,Kurta,S,Pink
J0133-KR-XS,J0133,3,Kurta,XS,Maroon
SET357-KR-NP-L,SET357,2,Set,L,Pink
JNE3896-KR-XXXL,JNE3896,7,Kurta,XXXL,Wine
JNE3617-KR-M,JNE3617,47,Kurta,M,Black
SET295-KR-NP-M,SET295,2,Kurta Set,M,Black
JNE3852-KR-M,JNE3852,30,Kurta,M,Wine
SET393-KR-NP-M,SET393,4,Set,M,Blue
SET272-KR-PP-L,SET272,3,Kurta Set,L,Mustard
SET244-KR-NP-XXXL,SET244,27,Kurta Set,XXXL,Pink
JNE3394-KR-XL,JNE3394,1,Kurta,XL,Cream
JNE3800-KR-M,JNE3800,3,Kurta,M,Mustard
J0034-SET-XS,J0034,56,Kurta Set,XS,Lemon
J0034-SET-L,J0034,2,Kurta Set,L,Lemon
SET195-KR-NP-XXL,SET195,7,Kurta Set,XXL,Beige
J0186-SET-XS,J0186,5,Kurta Set,XS,Black
JNE3449-KR-M,JNE3449,4,Kurta,M,Black
SET300-KR-NP-XL,SET300,34,Set,XL,Coral
J0241-SKD-XXL,J0241,30,Kurta Set,XXL,Off White
J0139-KR-XXXL,J0139,4,Kurta,XXXL,Navy Blue
J0401-DR-XXL,J0401,4,Dress,XXL,Yellow
SET361-KR-NP-XS,SET361,6,Set,XS,White
J0116-TP-XXXL,J0116,3,Top,XXXL,Olive
J0035-KR-S,J0035,5,Kurta,S,Lemon Yellow
SAR058,SAR058,2,Saree,FREE,Black
JNE3435-KR-M,JNE3435,268,Kurta,M,Pink
SET352-KR-NP-L,SET352,32,Set,L,Maroon
SET044-KR-NP-M,SET044,8,Kurta Set,M,Mustard
SET340-KR-NP-S,SET340,7,Set,S,Maroon
JNE3279-KR-M,JNE3279,2,Kurta,M,Peach
SET374-KR-NP-XS,SET374,22,Set,XS,Mustard
JNE3338-KR-S,JNE3338,13,Kurta,S,Grey
J0134-SET-L,J0134,2,Kurta Set,L,Cream
JNE3686-TU-L,JNE3686,3,Tunic,L,White
JAN8625-KR-L,JAN8625,4,Kurta,L,Black
J0295-DR-XL,J0295,3,Dress,XL,Black
SET305-KR-DPT-L,SET305,22,Kurta Set,L,Peach
JNE3435-KR-XXxL,JNE3435,16,Kurta,XXXL,Pink
JNE3687-TU-XXL,JNE3687,11,Tunic,XXL,Black
SET202-KR-NP-XL,SET202,1,Kurta Set,XL,Teal
J0118-TP-XL,J0118,73,Top,XL,Red
JNE3645-TP-XS,JNE3645,288,Top,XS,Red
SET272-KR-PP-XXXL,SET272,17,Kurta Set,XXXL,Mustard
J0298-DR-M,J0298,2,Kurta,M,Multicolor
J0194-DR-XL,J0194,5,Dress,XL,Green
SET183-KR-DH-XXXL,SET183,26,Kurta Set,XXXL,Olive Green
JNE3782-KR-XL,JNE3782,198,Kurta,XL,Green
J0215-BL-XS,J0215,1,Blouse,XS,Blue
JNE3366-KR-1053-XXXL,JNE3366,100,Kurta,XXXL,Peach
JNE3477-KR-M,JNE3477,8,Kurta,M,Peach
J0091-TP-S,J0091,2,Crop Top,S,Red
SET310-KR-NP-XXXL,SET310,15,Set,XXXL,Green
SET438-KR-NP-XL,SET438,66,Set,XL,Pink
SET337-KR-NP-XL,SET337,2,Kurta Set,XL,Maroon
JNE3736-KR-L,JNE3736,11,Kurta,L,Pink
JNE3450-KR-S,JNE3450,42,Kurta,S,Pink
JNE3659-TP-XS,JNE3659,12,Top,XS,Teal
JNE3491-KR-L,JNE3491,2,Kurta,L,Blue
SET094-KR-NP-XS,SET094,2,Kurta Set,XS,Turquoise Green
CH210-NAVY-L,CH210,2,Leggings,L,Navy Blue
JNE3506-KR-L,JNE3506,27,Kurta,L,Peach
J0088-TP-M,J0088,3,Crop Top,M,Pink
JNE3477-KR-XL,JNE3477,4,Kurta,XL,Peach
JNE3395-KR-XXL,JNE3395,53,Kurta,XXL,Light Green
SET461-KR-NP-XXXL,SET461,57,Set,XXXL,Peach
SET327-KR-DPT-M,SET327,9,Set,M,Black
J0189-TP-XXXL,J0189,4,Top,XXXL,Orange
SET334-KR-NP-M,SET334,46,Set,M,Grey
SET415-KR-NP-M,SET415,42,Set,M,Green
BTM030-NP-XS,BTM030,7,Pant,XS,Dark Green
JNE3612-KR-L,JNE3612,14,Kurta,L,Light Green
JNE3616-KR-XL,JNE3616,4,Kurta,XL,Maroon
SET328-KR-NP-XXL,SET328,15,Kurta Set,XXL,Black
J0001-DR-L,J0001,2,Dress,L,Pink
J0192-TP-XS,J0192,1,Top,XS,Navy Blue
JNE3620-KR-L,JNE3620,14,Kurta,L,Magenta
SAR069,SAR069,20,Saree,FREE,Pink
SET053-KR-NP-S,SET053,13,Kurta Set,S,Black
SET398-KR-PP-S,SET398,14,Kurta Set,S,Peach
J0105-KR-L,J0105,3,Dress,L,Off White
J0399-DR-M,J0399,2,Dress,M,Rust
NW020-ST-SR-L,NW020,2,Night Wear,L,Peach
J0315-KR-S,J0315,1,Kurta,S,Grey
J0136-KR-XL,J0136,7,Kurta,XL,Black
J0375-SKD-XL,J0375,22,Set,XL,Cream
